elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,home_score
1295.8847473857013,1212.220633635087,148.6641137506142,1,1.4,1.0,0.7,0.5,0.8,0.6,1.2,1.2,-1.3,-1.5,0,0,3,3,0.5,0.16666666666666666,0.6666666666666666,6,50.0,0
1616.2540880185634,1422.8173811856966,258.4367068328668,1,2.6,1.2,1.7,0.6,1.6,0.2,1.0,1.2,-0.4,-1.2,1,1,3,3,1.0,0.0,2.0,2,50.0,1
1407.9139410731784,1358.9287409900633,48.98520008311516,0,0.6,0.0,0.7,0.7,0.4,1.6,0.4,2.6,-1.1,-1.2,-1,-7,3,3,1.0,0.0,1.0,1,50.0,0
1894.0518953504106,2122.667929063884,-163.61603371347337,1,0.8,2.2,1.7,2.2,1.2,3.2,2.2,0.2,-0.3,2.2,-3,1,3,3,0.0,0.16666666666666666,-1.8333333333333333,6,50.0,1
2039.2755791767388,1925.2844054460602,178.99117373067838,1,1.8,0.8,1.9,1.4,2.6,1.4,1.8,1.4,1.3,0.8,1,-2,3,3,0.6923076923076923,0.1346153846153846,1.4038461538461537,52,50.0,3
1846.3240502581236,1708.7199467203568,137.60410353776683,0,1.4,2.0,2.2,1.7,1.6,1.2,1.6,1.0,1.7,0.5,0,0,4,5,0.5,0.0,-0.25,4,20.0,1
1564.628531059023,1857.516477042973,-227.88794598394998,1,0.8,2.0,0.5,2.1,0.6,1.4,0.8,0.6,-1.7,0.5,-3,0,3,3,0.4444444444444444,0.1111111111111111,0.3333333333333333,9,50.0,0
1634.7840483751397,1641.1071423713172,58.67690600382252,1,2.2,1.6,1.8,1.4,1.8,1.2,1.2,1.0,0.3,0.1,0,0,3,3,0.0,1.0,0.0,1,50.0,1
1428.0919965769551,1532.9916261043043,-39.899629527349134,1,0.2,0.8,0.2,1.1,0.8,2.8,1.2,2.8,-1.9,-1.0,0,0,3,3,0.3333333333333333,0.3333333333333333,0.0,6,50.0,1
1825.5704717533472,1800.2057190175772,90.36475273577003,1,1.2,1.0,1.7,1.7,1.2,1.0,1.0,1.4,0.7,0.1,0,-1,3,3,0.0,1.0,0.0,1,50.0,2
1276.6405660229348,1659.5841649072017,-317.943598884267,1,0.2,2.0,0.1,1.9,0.2,2.2,1.6,0.6,-2.1,0.7,-3,3,3,3,0.0,0.0,-1.6666666666666667,3,50.0,0
1381.307612257723,1568.8546419696613,-122.54702971193842,1,2.0,1.0,1.0,1.4,1.4,1.0,0.8,1.0,-1.4,0.3,0,0,3,3,0.6,0.0,0.0,5,50.0,0
1496.2961967432775,1426.401893703676,134.89430303960148,1,0.8,1.4,0.8,1.1,0.8,1.6,1.4,1.2,-0.9,0.1,0,0,3,3,0.6,0.2,1.6,5,50.0,2
1727.872228391573,1755.077343719043,37.79488467252986,1,1.2,0.8,1.5,1.2,1.0,1.6,0.4,0.6,0.0,0.1,1,0,3,3,0.16666666666666666,0.3333333333333333,-1.3333333333333333,6,50.0,1
1691.260407898908,1556.551581119879,199.70882677902887,1,2.0,0.2,1.7,0.7,1.4,0.8,0.6,1.4,0.2,-0.8,1,-3,3,3,1.0,0.0,1.0,1,50.0,0
1893.0273295251836,1771.8727951928688,186.15453433231482,1,2.0,1.8,2.2,1.2,2.6,1.2,1.4,1.2,1.5,-0.4,0,2,3,3,0.5161290322580645,0.2903225806451613,0.16129032258064516,31,50.0,0
1715.2065930503827,1814.161613422197,-33.95502037181427,1,0.8,1.8,1.1,2.2,1.0,2.8,1.4,1.2,-0.8,1.1,-2,2,3,3,0.2222222222222222,0.5555555555555556,0.1111111111111111,9,50.0,0
1725.0416674058342,1810.6900133391728,-20.648345933338533,1,2.2,1.8,1.7,1.8,1.4,0.6,1.6,1.2,0.2,0.5,1,2,3,3,0.375,0.125,-0.25,8,50.0,1
1813.9289054058345,1668.9265994111302,210.00230599470433,1,1.8,0.4,1.8,0.9,2.6,1.2,0.8,2.8,1.3,-1.2,1,-1,3,3,0.8181818181818182,0.0,1.3636363636363635,11,50.0,1
1961.3044889033595,2120.4252862432054,-94.12079733984592,1,1.8,2.6,2.0,2.6,1.8,2.2,2.8,0.6,0.7,1.9,2,0,3,3,0.0,0.2857142857142857,-1.4285714285714286,7,50.0,1
2104.7750774489887,1877.2905840157725,292.48449343321613,1,2.2,1.2,2.3,1.9,1.6,0.2,0.8,1.2,2.1,0.8,0,-1,3,3,0.3157894736842105,0.3157894736842105,-0.3684210526315789,19,50.0,3
2071.352989249068,1963.8847240614214,172.46826518764647,1,2.6,1.6,2.5,2.1,2.0,0.2,1.6,0.6,2.7,2.2,2,2,3,3,0.6,0.25,0.85,20,50.0,0
1725.6115187736416,2143.58855350416,-352.9770347305182,1,1.2,2.0,1.6,2.5,0.8,2.0,3.0,1.0,-0.3,3.2,-1,-1,3,3,0.0,0.0,-2.9166666666666665,12,50.0,1
1884.8819171196944,1726.3851205096041,223.4967966100903,1,2.0,1.2,2.0,1.2,2.0,1.0,1.2,0.8,0.9,0.4,0,0,3,3,0.5,0.5,0.5,2,50.0,3
2035.8010961231917,2018.3511093842185,82.44998673897317,1,2.2,1.4,2.6,2.0,3.4,0.4,1.2,0.4,2.8,1.3,0,0,3,3,0.45454545454545453,0.4090909090909091,0.36363636363636365,22,50.0,1
1707.3639835190263,1591.8404963984954,180.52348712053094,1,1.0,0.6,1.0,0.7,0.8,1.0,0.6,1.0,-0.6,-0.4,-1,-1,3,3,0.6,0.4,0.8,5,50.0,2
1404.885302025488,1388.2153035493097,81.6699984761783,1,1.0,1.0,0.8,1.1,0.6,0.8,1.0,1.0,-0.6,-0.3,1,0,90,25,0.34210526315789475,0.23684210526315788,0.02631578947368421,38,20.0,2
1653.4680479309259,1378.5735189246907,274.8945290062352,0,1.6,0.8,1.6,1.3,1.4,1.2,1.0,1.8,0.2,-0.1,1,0,90,90,0.5,0.5,2.25,4,20.0,1
2118.4783918856133,1134.985481294164,1048.4929105914493,1,2.2,0.4,2.3,0.6,1.8,0.2,0.2,1.0,2.2,-1.0,1,-1,28,29,1.0,0.0,4.2,5,20.0,7
1692.6421040566113,1519.9265726410636,237.71553141554773,1,0.8,1.4,1.1,0.8,1.0,2.0,1.2,1.2,-0.8,-0.8,-3,1,28,28,0.5,0.5,1.0,4,20.0,5
893.6413887007474,1260.7958422439037,-302.15445354315636,1,0.2,0.8,0.1,0.7,0.0,2.4,0.6,0.8,-3.7,-0.8,0,-1,29,29,0.0,0.25,-1.25,4,20.0,0
1819.2109634186422,1942.9160743877371,-58.7051109690949,1,0.8,1.2,1.5,1.7,1.2,1.4,1.6,2.4,0.6,0.2,0,-1,28,28,0.1111111111111111,0.5555555555555556,-0.4444444444444444,9,20.0,3
1672.541429185918,1404.4123439355035,333.1290852504146,1,2.6,0.8,1.9,0.8,2.0,0.0,0.4,1.2,0.9,-0.7,4,0,28,29,0.5,0.25,0.0,0,20.0,0
