elo_home,elo_away,elo_diff,home_adv,ppg5_home,ppg5_away,ppg10_home,ppg10_away,gf5_home,ga5_home,gf5_away,ga5_away,gd10_home,gd10_away,streak_home,streak_away,rest_home,rest_away,h2h_winrate_home,h2h_drawrate,h2h_gd_home,h2h_games,importance,away_score
1725.6132814683444,2143.5903790904354,-352.9770976220909,1,1.2,2.0,1.6,2.5,0.8,2.0,3.0,1.0,-0.3,3.2,-1,-1,3,3,0.0,0.0,-2.9166666666666665,12,50.0,2
1725.0435730168379,1810.6917915427634,-20.648218525925586,1,2.2,1.8,1.7,1.8,1.4,0.6,1.6,1.2,0.2,0.5,1,2,3,3,0.375,0.125,-0.25,8,50.0,0
2035.8030190644215,2018.3530471494248,82.44997191499647,1,2.2,1.4,2.6,2.0,3.4,0.4,1.2,0.4,2.8,1.3,0,0,3,3,0.45454545454545453,0.4090909090909091,0.36363636363636365,22,50.0,1
1884.8837639900298,1726.3869936396566,223.49677035037325,1,2.0,1.2,2.0,1.2,2.0,1.0,1.2,0.8,0.9,0.4,0,0,3,3,0.5,0.5,0.5,2,50.0,0
2071.3548478223142,1963.886572192144,172.46827563017018,1,2.6,1.6,2.5,2.1,2.0,0.2,1.6,0.6,2.7,2.2,2,2,3,3,0.6,0.25,0.85,20,50.0,1
1707.3657688478506,1591.842442343876,180.52332650397466,1,1.0,0.6,1.0,0.7,0.8,1.0,0.6,1.0,-0.6,-0.4,-1,-1,3,3,0.6,0.4,0.8,5,50.0,3
1961.3063194632769,2120.427165541427,-94.12084607814995,1,1.8,2.6,2.0,2.6,1.8,2.2,2.8,0.6,0.7,1.9,2,0,3,3,0.0,0.2857142857142857,-1.4285714285714286,7,50.0,2
2104.776907223457,1877.2924280682046,292.4844791552523,1,2.2,1.2,2.3,1.9,1.6,0.2,0.8,1.2,2.1,0.8,0,-1,3,3,0.3157894736842105,0.3157894736842105,-0.3684210526315789,19,50.0,0
1813.930807173167,1668.9285059722683,210.00230120089873,1,1.8,0.4,1.8,0.9,2.6,1.2,0.8,2.8,1.3,-1.2,1,-1,3,3,0.8181818181818182,0.0,1.3636363636363635,11,50.0,0
1715.2084984282026,1814.163552252898,-33.95505382469537,1,0.8,1.8,1.1,2.2,1.0,2.8,1.4,1.2,-0.8,1.1,-2,2,3,3,0.2222222222222222,0.5555555555555556,0.1111111111111111,9,50.0,1
1404.8861532514707,1388.2163046532348,81.66984859823583,1,1.0,1.0,0.8,1.1,0.6,0.8,1.0,1.0,-0.6,-0.3,1,0,90,25,0.34210526315789475,0.23684210526315788,0.02631578947368421,38,20.0,2
1653.4657464014692,1378.5694291952964,274.89631720617285,0,1.6,0.8,1.6,1.3,1.4,1.2,1.0,1.8,0.2,-0.1,1,0,90,90,0.5,0.5,2.25,4,20.0,0
1859.4430421406682,1419.970808929112,504.47223321155616,1,1.4,1.8,1.9,1.2,1.6,1.2,1.2,1.2,0.7,-0.4,-1,-1,33,90,0.6153846153846154,0.3076923076923077,1.3076923076923077,13,50.0,0
1526.7626698117406,1370.3454962297437,221.41717358199685,1,1.2,1.6,1.3,1.4,1.0,1.0,0.6,0.6,-0.3,-0.1,1,0,33,90,0.3333333333333333,0.6666666666666666,0.3333333333333333,3,50.0,1
1559.5285911833098,1407.388321017308,152.14027016600176,0,1.6,1.0,1.1,0.9,1.2,1.2,0.8,1.0,0.0,-0.1,1,-2,90,90,0.0,0.5,-0.5,2,50.0,3
1562.5814837696612,1327.971956706467,299.60952706319426,1,1.4,0.6,1.1,0.7,1.6,1.4,0.4,1.4,-0.3,-1.1,2,-3,32,32,1.0,0.0,1.0,1,50.0,0
